created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,quoted_status_id,quoted_status_id_str
23/05/2022,1.52875E+18,1.52875E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 05 https://t.co/eOzCuQtd2Z",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
23/05/2022,1.52872E+18,1.52872E+18,"#COVID19 is linked to more #diabetes diagnoses in kids, CDC study finds https://t.co/H5lO1W7Skd via @YouTube",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,FALSE,0,1,FALSE,FALSE,en,FALSE,,
23/05/2022,1.52865E+18,1.52865E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 56",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
23/05/2022,1.52861E+18,1.52861E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 07 https://t.co/ZX6M3Gwkfe",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
23/05/2022,1.5286E+18,1.5286E+18,"Advanced healthcare at your fingertips
https://t.co/aUQ93qFsJ4 | +443333053358
#slough #sloughtownfc #sloughtown #sloughi #windsor #windsorcastle #diabetes #physician #generalphysician
#hospital #covid19 #medical #medicine #bloodtest #GP https://t.co/QFKpPxsWzU",FALSE,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
23/05/2022,1.52859E+18,1.52859E+18,"Deciphering ADA 2021: Minimize Risks for People with Diabetes in COVID-19   by Dr. G Shanmugan Sundar
#trd #ADA2021 #covid19 #diabetes 
Watch full video here: https://t.co/sr3uKjK9zo https://t.co/fw3frVHEXY",FALSE,"<a href=""https://social.zoho.com"" rel=""nofollow"">Zoho Social</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
23/05/2022,1.52856E+18,1.52856E+18,"It can’t really be called a pandemic when less than half of one percent of people who catch the virus die from it, and 99 percent of those people are already dying from cancer, heart disease, diabetes, prescription drugs or dementia. #COVID19",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,FALSE,0,1,FALSE,FALSE,en,,,
23/05/2022,1.52854E+18,1.52854E+18,Out of the hospital from DKA.. now I tested positive for Covid… why me #T1D #Diabetes #COVID19,FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,FALSE,0,1,FALSE,FALSE,en,,,
22/05/2022,1.53E+18,1.52849E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U https://t.co/QybT2Gn8oR",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52848E+18,1.52848E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 60",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52848E+18,1.52848E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 55 https://t.co/xnRuEI07Ue",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52848E+18,1.52848E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 08 https://t.co/NNI4A4ocNN",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,1,1,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52847E+18,1.52847E+18,"All of our doctors are board certified specialist and are here to help you 7 days a week.

#xrays #bloodtests #diabetes  #flushots #cold #immunizations #tlcmedical #dotphysical #dotexam #immigrationmedical #urgentcare #medical #walkinclinic #coronavirus #covid19 #fluseason https://t.co/tCgyhqJ4Vi",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,FALSE,1,0,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52847E+18,1.52847E+18,"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/shBvjpzR9U 59",FALSE,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",,,,,,,FALSE,0,0,FALSE,FALSE,en,FALSE,,
22/05/2022,1.52846E+18,1.52846E+18,"My grandfather told me that the reason he is still alive and healthy with no high blood pressure,covid19 diabetes,ulcers,kidney failure,cancer is avoiding listening to m7 and nrm officials speech,and now I see his brilliant decisions",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,FALSE,1,15,FALSE,FALSE,en,,,
